uuid,wiki-name
6b0038c6-c3a1-4a1c-b721-5bb0a50c8867,abkhazia
b33be079-39b7-4a1d-b689-97c224d5fece,afghanistan
ca1a8efc-5d84-4e75-9f3b-5d005b9afca5,aland
6c7e4e7d-9bf4-4e47-b2e4-c925f54bcd1a,albania
d9b8f8c8-5b5a-41ef-8538-26d822a4c9bd,algeria
1965c743-cf9a-4021-9ed1-b9e4e77486a2,andorra
bf07965f-f874-453e-a725-54c5a1254ee8,angola
793360a3-aa91-4703-acfe-60287e3f9b74,anguilla
f2cdea77-ac81-4009-a139-487fed267132,antarctica
90de1527-d5a5-446f-a960-eccda43af198,antigua and barbuda
78219cc6-d1b2-4193-9da7-e7abc92863ee,argentina
f2f3e704-bb03-467a-a1a0-1d56b6faadce,armenia
44344c65-9381-42d7-a573-6a9e38ead0f0,aruba
0a3e548d-7e30-426f-840c-07ff9b6772f7,australia
e14f7607-8074-4eeb-8b3f-3093575719a4,austria
319530a8-8cd2-4dc3-84a6-29ac720c51da,azerbaijan
ac6434f1-bbb9-4242-a393-d78d367f034a,bahamas
497550d7-f9e9-4f1a-a5e0-8c9019c7bc31,bahrain
bb3fa754-b35e-45ee-8d66-fb159c96d821,bangladesh
49494a5b-205f-4756-9145-2784c9269a99,barbados
ac612169-1567-4c5e-a203-3987fa26c267,belarus
1f4dd261-dc57-49ec-b872-8b1917703616,belgium
3e62d48d-717d-4421-91c2-abb059a80576,belize
5fbebc32-e410-4faa-94e5-822252f8b499,benin
5cbe7035-cbba-4ba4-9e59-1338db15983a,bermuda
1d58bd18-8519-4e53-8cd1-6a7e93cda614,bhutan
546440bf-236c-4f99-bd12-3bba52d50e02,bolivia
57781bac-bb12-4862-9e29-a3eb6ebed059,bonaire
c103dabb-a386-4a6a-bce5-c0c0fa5f43f6,bosnia and herzegovina
ff4c5033-aee4-4325-90cc-1f96ef10bbce,botswana
2c927bd6-e6c1-4aa7-810e-6f544f2137dc,bouvet island
1b558876-4f84-41fb-8215-93143842ba53,brazil
4fe94a12-77e5-4a49-94c4-6bff7b9f1b2e,british virgin islands
49ca53d4-0d59-4be8-9724-70b0eff911ce,brunei
dde93861-da65-40d4-8159-3e67e8d58e02,bulgaria
a22c7473-248e-4447-8bc7-1fc51c00ca3e,burkina faso
509e1050-f5ab-4d6b-ba04-501765fb9ecf,burma
4f0fe689-81e0-4b91-a093-cad33a305482,burundi
0b35bd76-e5ef-4a77-bacf-46918e1d9d06,cabo verde
